Stichtag;ID;Kreis;männlich;weiblich;Insgesamt
31.12.2019;09275;Passau, Landkreis;95727;96929;192656
31.12.2019;09276;Regen, Landkreis;38619;38791;77410
31.12.2019;09277;Rottal-Inn, Landkreis;60920;60582;121502
31.12.2019;09278;Straubing-Bogen, Landkreis;50763;50357;101120
31.12.2019;09279;Dingolfing-Landau, Landkreis;49580;47103;96683
31.12.2019;09361;Amberg, kreisfreie Stadt;20816;21391;42207
31.12.2019;09362;Regensburg, kreisfreie Stadt;74316;78778;153094
31.12.2019;09363;Weiden in der Oberpfalz, kreisfreie Stadt;20652;22091;42743
31.12.2019;09371;Amberg-Sulzbach, Landkreis;51634;51415;103049
31.12.2019;09372;Cham, Landkreis;64289;63709;127998
31.12.2019;09373;Neumarkt in der Oberpfalz, Landkreis;68058;66515;134573
31.12.2019;09374;Neustadt an der Waldnaab, Landkreis;47061;47389;94450
31.12.2019;09375;Regensburg, Landkreis;97185;96885;194070
31.12.2019;09376;Schwandorf, Landkreis;74315;73557;147872
31.12.2019;09377;Tirschenreuth, Landkreis;35891;36155;72046
31.12.2019;09461;Bamberg, kreisfreie Stadt;37296;40077;77373
31.12.2019;09462;Bayreuth, kreisfreie Stadt;36539;38244;74783
31.12.2019;09463;Coburg, kreisfreie Stadt;20042;21030;41072
31.12.2019;09464;Hof, kreisfreie Stadt;22095;23730;45825
31.12.2019;09471;Bamberg, Landkreis;73740;73423;147163
31.12.2019;09472;Bayreuth, Landkreis;51361;52303;103664
31.12.2019;09473;Coburg, Landkreis;42836;43911;86747
31.12.2019;09474;Forchheim, Landkreis;57771;58432;116203
31.12.2019;09475;Hof, Landkreis;46459;48342;94801
31.12.2019;09476;Kronach, Landkreis;32987;33756;66743
31.12.2019;09477;Kulmbach, Landkreis;35244;36322;71566
31.12.2019;09478;Lichtenfels, Landkreis;32965;33811;66776
31.12.2019;09479;Wunsiedel im Fichtelgebirge, Landkreis;35446;37209;72655
31.12.2019;09561;Ansbach, kreisfreie Stadt;20022;21776;41798
31.12.2019;09562;Erlangen, kreisfreie Stadt;56013;56515;112528
31.12.2019;09563;Fürth, kreisfreie Stadt;63051;65446;128497
31.12.2019;09564;Nürnberg, kreisfreie Stadt;253135;265235;518370
31.12.2019;09565;Schwabach, kreisfreie Stadt;20068;20913;40981
31.12.2019;09571;Ansbach, Landkreis;92836;91755;184591
31.12.2019;09572;Erlangen-Höchstadt, Landkreis;68245;69017;137262
31.12.2019;09573;Fürth, Landkreis;57200;60653;117853
31.12.2019;09574;Nürnberger Land, Landkreis;84197;86595;170792
31.12.2019;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;50621;50393;101014
31.12.2019;09576;Roth, Landkreis;62952;63797;126749
31.12.2019;09577;Weißenburg-Gunzenhausen, Landkreis;47305;47429;94734
31.12.2019;09661;Aschaffenburg, kreisfreie Stadt;34641;36361;71002
31.12.2019;09662;Schweinfurt, kreisfreie Stadt;26169;27257;53426
31.12.2019;09663;Würzburg, kreisfreie Stadt;61131;66803;127934
31.12.2019;09671;Aschaffenburg, Landkreis;86457;87743;174200
31.12.2019;09672;Bad Kissingen, Landkreis;50860;52375;103235
31.12.2019;09673;Rhön-Grabfeld, Landkreis;39646;39989;79635
31.12.2019;09674;Haßberge, Landkreis;42309;42075;84384
31.12.2019;09675;Kitzingen, Landkreis;45862;45293;91155
31.12.2019;09676;Miltenberg, Landkreis;64105;64638;128743
31.12.2019;09677;Main-Spessart, Landkreis;62951;63207;126158
31.12.2019;09678;Schweinfurt, Landkreis;58014;57431;115445
31.12.2019;09679;Würzburg, Landkreis;80732;81570;162302
31.12.2019;09761;Augsburg, kreisfreie Stadt;146222;150360;296582
31.12.2019;09762;Kaufbeuren, kreisfreie Stadt;21872;22526;44398
31.12.2019;09763;Kempten (Allgäu), kreisfreie Stadt;34219;34932;69151
31.12.2019;09764;Memmingen, kreisfreie Stadt;21892;22208;44100
31.12.2019;09771;Aichach-Friedberg, Landkreis;67161;67494;134655
31.12.2019;09772;Augsburg, Landkreis;125761;127707;253468
31.12.2019;09773;Dillingen an der Donau, Landkreis;48441;48121;96562
31.12.2019;09774;Günzburg, Landkreis;64288;62739;127027
31.12.2019;09775;Neu-Ulm, Landkreis;86839;88365;175204
31.12.2019;09776;Lindau (Bodensee), Landkreis;40438;41543;81981
31.12.2019;09777;Ostallgäu, Landkreis;70507;70675;141182
31.12.2019;09778;Unterallgäu, Landkreis;73229;72112;145341
31.12.2019;09779;Donau-Ries, Landkreis;67860;65923;133783
31.12.2019;09780;Oberallgäu, Landkreis;76890;79118;156008
31.12.2019;10041;Regionalverband Saarbrücken, Landkreis;161617;167097;328714
31.12.2019;10042;Merzig-Wadern, Landkreis;51032;52211;103243
31.12.2019;10043;Neunkirchen, Landkreis;64540;66868;131408
31.12.2019;10044;Saarlouis, Landkreis;95138;99181;194319
31.12.2019;10045;Saarpfalz-Kreis;69120;73076;142196
31.12.2019;10046;Sankt Wendel, Landkreis;42972;44035;87007
31.12.2019;11000;Berlin, kreisfreie Stadt;1804273;1865218;3669491
31.12.2019;12051;Brandenburg an der Havel, kreisfreie Stadt;35577;36607;72184
31.12.2019;12052;Cottbus, kreisfreie Stadt;48816;50862;99678
31.12.2019;12053;Frankfurt (Oder), kreisfreie Stadt;28099;29652;57751
31.12.2019;12054;Potsdam, kreisfreie Stadt;87158;93176;180334
31.12.2019;12060;Barnim, Landkreis;91812;93432;185244
31.12.2019;12061;Dahme-Spreewald, Landkreis;84806;85985;170791
31.12.2019;12062;Elbe-Elster, Landkreis;50472;51355;101827
31.12.2019;12063;Havelland, Landkreis;80547;82449;162996
31.12.2019;12064;Märkisch-Oderland, Landkreis;97086;98665;195751
31.12.2019;12065;Oberhavel, Landkreis;104949;107965;212914
31.12.2019;12066;Oberspreewald-Lausitz, Landkreis;53724;55647;109371
31.12.2019;12067;Oder-Spree, Landkreis;87616;91187;178803
31.12.2019;12068;Ostprignitz-Ruppin, Landkreis;49144;49717;98861
31.12.2019;12069;Potsdam-Mittelmark, Landkreis;107234;109332;216566
31.12.2019;12070;Prignitz, Landkreis;37801;38357;76158
31.12.2019;12071;Spree-Neiße, Landkreis;55879;57841;113720
31.12.2019;12072;Teltow-Fläming, Landkreis;84796;85201;169997
31.12.2019;12073;Uckermark, Landkreis;58415;60532;118947
31.12.2019;13003;Rostock, kreisfreie Stadt;103101;106090;209191
31.12.2019;13004;Schwerin, kreisfreie Stadt;45957;49696;95653
31.12.2019;13071;Mecklenburgische Seenplatte, Landkreis;126560;131514;258074
31.12.2019;13072;Rostock, Landkreis;107360;108434;215794
31.12.2019;13073;Vorpommern-Rügen, Landkreis;110438;114264;224702
31.12.2019;13074;Nordwestmecklenburg, Landkreis;78294;79028;157322
31.12.2019;13075;Vorpommern-Greifswald, Landkreis;115274;120349;235623
31.12.2019;13076;Ludwigslust-Parchim, Landkreis;105628;106151;211779
31.12.2019;14511;Chemnitz, kreisfreie Stadt;121810;124524;246334
31.12.2019;14521;Erzgebirgskreis;163885;171063;334948
31.12.2019;14522;Mittelsachsen, Landkreis;151334;152765;304099
31.12.2019;14523;Vogtlandkreis;110269;115728;225997
31.12.2019;14524;Zwickau, Landkreis;153663;161339;315002
31.12.2019;14612;Dresden, kreisfreie Stadt;277612;279168;556780
31.12.2019;14625;Bautzen, Landkreis;148084;151674;299758
31.12.2019;14626;Görlitz, Landkreis;123768;128957;252725
31.12.2019;14627;Meißen, Landkreis;118997;122720;241717
31.12.2019;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;121254;124332;245586
31.12.2019;14713;Leipzig, kreisfreie Stadt;291450;301695;593145
31.12.2019;14729;Leipzig, Landkreis;126466;131673;258139
31.12.2019;14730;Nordsachsen, Landkreis;98130;99611;197741
31.12.2019;15001;Dessau-Roßlau, kreisfreie Stadt;38894;41209;80103
31.12.2019;15002;Halle (Saale), kreisfreie Stadt;115552;123210;238762
31.12.2019;15003;Magdeburg, kreisfreie Stadt;117391;120174;237565
31.12.2019;15081;Altmarkkreis Salzwedel;41428;41745;83173
31.12.2019;15082;Anhalt-Bitterfeld, Landkreis;77624;80862;158486
31.12.2019;15083;Börde, Landkreis;85224;85699;170923
31.12.2019;15084;Burgenlandkreis;88658;90188;178846
31.12.2019;15085;Harz, Landkreis;104712;108598;213310
31.12.2019;15086;Jerichower Land, Landkreis;44600;44989;89589
31.12.2019;15087;Mansfeld-Südharz, Landkreis;66285;68657;134942
31.12.2019;15088;Saalekreis;90793;93022;183815
31.12.2019;15089;Salzlandkreis;92363;96762;189125
31.12.2019;15090;Stendal, Landkreis;54869;56321;111190
31.12.2019;15091;Wittenberg, Landkreis;61469;63484;124953
31.12.2019;16051;Erfurt, kreisfreie Stadt;104044;109937;213981
31.12.2019;16052;Gera, kreisfreie Stadt;44945;48180;93125
31.12.2019;16053;Jena, kreisfreie Stadt;55628;55715;111343
31.12.2019;16054;Suhl, kreisfreie Stadt;18009;18780;36789
31.12.2019;16055;Weimar, kreisfreie Stadt;31549;33679;65228
31.12.2019;16056;Eisenach, kreisfreie Stadt;20833;21417;42250
31.12.2019;16061;Eichsfeld, Landkreis;50219;49787;100006
31.12.2019;16062;Nordhausen, Landkreis;41394;42022;83416
31.12.2019;16063;Wartburgkreis;59573;59401;118974
31.12.2019;16064;Unstrut-Hainich-Kreis;50775;51457;102232
31.12.2019;16065;Kyffhäuserkreis;36865;37347;74212
31.12.2019;16066;Schmalkalden-Meiningen, Landkreis;62446;62470;124916
31.12.2019;16067;Gotha, Landkreis;67158;67750;134908
31.12.2019;16068;Sömmerda, Landkreis;34660;34767;69427
31.12.2019;16069;Hildburghausen, Landkreis;31624;31573;63197
31.12.2019;16070;Ilm-Kreis;53446;52803;106249
31.12.2019;16071;Weimarer Land, Landkreis;40724;41432;82156
31.12.2019;16072;Sonneberg, Landkreis;28391;29326;57717
31.12.2019;16073;Saalfeld-Rudolstadt, Landkreis;50838;52361;103199
31.12.2019;16074;Saale-Holzland-Kreis;41262;41688;82950
31.12.2019;16075;Saale-Orla-Kreis;39890;40422;80312
31.12.2019;16076;Greiz, Landkreis;47921;49477;97398
31.12.2019;16077;Altenburger Land, Landkreis;43802;45591;89393
